estimator,avg_execution_time,std_execution_time,avg_accuracy,std_accuracy,avg_success_rate,std_success_rate
DFA,3.361701965332031e-05,1.1877110946421607e-05,0.8037859804259058,0.13272102300539718,0.90625,0.2914805954090255
GPH,1.6278690761990016e-05,1.490594057272083e-05,0.8480542646266049,0.09807097209911511,0.5625,0.49607837082461076
Higuchi,1.4347689492361887e-05,8.71289867964109e-06,0.8152747040801914,0.15189901832016162,0.875,0.33071891388307384
RS,1.1630680250084918e-05,3.477797585171737e-06,0.8325399560058773,0.11091391956604066,0.71875,0.4496092053105675
Whittle,1.1444091796875e-05,3.4284042692379936e-06,0.8282816970214277,0.12865650643147644,0.5625,0.49607837082461076
WaveletWhittle,1.2225118176690463e-05,4.377856462233347e-06,0.8987945440485869,0.11396882325605233,0.90625,0.2914805954090255
