estimator,avg_execution_time,std_execution_time,avg_accuracy,std_accuracy,avg_success_rate,std_success_rate
DFA,2.8188412006084735e-05,1.4041075895328396e-05,0.8041032335638018,0.13397908898485722,0.8125,0.3903123748998999
GPH,1.2583202785915799e-05,6.371996687890773e-06,0.7675576343460997,0.13057398838294823,0.5625,0.49607837082461076
Higuchi,1.1539459228515625e-05,3.9118088344561925e-06,0.7930505226592168,0.16478910845105174,0.78125,0.41339864235384227
RS,1.0967254638671875e-05,5.311815967544185e-06,0.8393001135210689,0.16363826408361998,0.84375,0.3630921887069453
Whittle,9.332384381975447e-06,1.1476349079320322e-06,0.8184354940951002,0.16215386899660733,0.65625,0.47495887979908324
WaveletWhittle,1.0597294774548761e-05,3.826797449648968e-06,0.8478969091681543,0.13146818886411496,0.90625,0.2914805954090255
